relationship_type,source_ref,target_ref
uses,malware--6a21e3a4-5ffe-4581-af9a-6a54c7536f44,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
mitigates,course-of-action--21da4fd4-27ad-4e9c-b93d-0b9b14d02c96,attack-pattern--43c9bc06-715b-42db-972f-52d25c09a20c
detects,x-mitre-data-component--a7f22107-02e5-4982-9067-6625d4a1765a,attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9
uses,intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90
uses,malware--425771c5-48b4-4ecd-9f95-74ed3fc9da59,attack-pattern--bf176076-b789-408e-8cba-7275e81c0ada
uses,malware--b7010785-699f-412f-ba49-524da6033c76,attack-pattern--132d5b37-aac5-4378-a8dc-3127b18a73dc
detects,x-mitre-data-component--45fd904d-6eb0-4b50-8478-a961f09f898b,attack-pattern--144e007b-e638-431d-a894-45d90c54ab90
uses,malware--a7881f21-e978-4fe4-af56-92c9416a2616,attack-pattern--ca9d3402-ada3-484d-876a-d717bd6e05f2
uses,malware--8901ac23-6b50-410c-b0dd-d8174a86f9b3,attack-pattern--f3c544dc-673c-4ef3-accb-53229f1ae077
uses,malware--8c050cea-86e1-4b63-bf21-7af4fa483349,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
uses,campaign--df74f7ad-b10d-431c-9f1d-a2bc18dadefa,attack-pattern--4fe28b27-b13c-453e-a386-c2ef362a573b
uses,intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,attack-pattern--10ffac09-e42d-4f56-ab20-db94c67d76ff
uses,campaign--b03d5112-e23a-4ac8-add0-be7502d24eff,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896
uses,intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,attack-pattern--635cbe30-392d-4e27-978e-66774357c762
uses,malware--3553b49d-d4ae-4fb6-ab17-0adbc520c888,attack-pattern--3489cfc5-640f-4bb3-a103-9137b97de79f
